\+54 9 11-3679-0690,
\+56974473146,
MUJERES,MUJER
PODES MANDAR,
VACUNAS,VACUNA
CANASTA BASICA,CANASTA_BASICA
CONTENIDOS FALSOS,
SISTEMA NERVIOSO,SISTEMA_NERVIOSO
ENTRAR BUSCADOR,
INGLESIA CATOLICA,IGLESIA_CATOLICA
PRESIDENTE DE LA NACION,PRESIDENTE
QUERES RECIBIR,
MALA ESPINA,
LISTA DIFUSION,
RECIBIR CONTENIDOS,
CASOS TOTALES,CASOS
INFORME EPIDEMIOLOGICO,
TEST MALA,
DETECTADO MALA,
MENTIRAS ENGANOS,
QUIERES RECIBIR,
ENGANOS FALASAS,
MALA ESPINA CHECK,
ESPINA CHECK,
FACT CHECKING,
FACT-CHECKING,
AFIRMACION INCORRECTA,
CHECA CONSEJOS,
DISCURSO MANIPULADO,
DIVULGADO FALSOS,
INFORMAR REPORTAR,
RESPONDER DUDAS,
FALSO PUDIERA,
MENSAJERIA INSTANTANEA,
ENVIALA EQUIPO,
ORGANIZACION MUNDIAL SALUD,OMS
ASAMBLEA NACIONAL,ASAMBLEA_NACIONAL
CARGA VIRAL,CARGA_VIRAL
MEDIOS COMUNICATIONS,MEDIOS
ALOJAMIENTO TEMPORAL,ALOJAMIENTO_TEMPORAL
EFECTO COCUYO,
EE UU,EEUU
DEFINE ESPECIALISTA,
POYNTER DEDICA,
CORREO ELECTRONICO,CORREO
INFORMACION DESMENTIDA,
MENTIRAS RELACIONADAS,
INFORMACION FALSEADA,
ESTADOS UNIDOS,EEUU
REINO UNIDO,REINO_UNIDO
¡Grrrrr!,
ACTOR PORNO,ACTOR PORNO
FALSAS VIRALIZARON,
PREMIO NOBEL,PREMIO_NOBEL
MANUAL MALA,
MINISTRO SALUD,MINISTRO_SALUD
SUPUESTA NOTICIA,
INFORMACION FALSA,
GRRRRR FALSO,
INFORMACION VERIFICADA,
INFORMACION REAL,
CASOS ACTIVOS,CASOS
FALSO GRRRRR,
CASOS CONFIRMADOS,CASOS
DAMOS CONSEJOS,
DEJES ENGANAR,
CONSULTA INFORMACION,
PREMIO NOBEL,PREMIO_NOBEL
SACADOS CONTEXTO,
IDEA FALSA,
INFORMACION SACADA,
MENSAJE FALSO,
AFIRMACION FALSA,
LAMENTAMOS DECIRTE,
CHECA INFORMACION,
DATOS PERSONALES,DATOS
CONSULTAMOS ESPECIALISTAS,
VACUNA CORONAVIRUS,VACUNA
REVISAMOS AFIRMACIONES,
EMERGENCIA SANITARIA,EMERGENCIA
FOTO TOMADA,
PAÍSES MUNDO,PAÍSES
CONSULTADOS INDICARON,
VIAS RESPIRATORIAS,VIAS_RESPIRATORIAS
CASOS COVID19,CASOS
MEDIOS DE COMUNICACION,MEDIOS
MEDIOS COMUNICACION,MEDIOS
DIAS PASADOS,DIAS
CAPTURA PANTALLA,
ZONAS RURALES,ZONAS_RURALES
SACADAS DEL CONTEXTO,
SACADAS CONTEXTO,
ACTOR PORNO,ACTOR_PORNO
OJO DATOS,DATOS
DIOXIDO CLORO,DIOXIDO_CLORO
DIOXIDO CARBONO,DIOXIDO_CARBONO
DIOXIDO DE CARBONO,DIÓXIDO_CARBONO
DIAS RECIENTES,DIAS
INFORMACION FALSA,
TERRITORIO COLOMBIANO,COLOMBIA
PROYECTO DE LEY,LEY
PROYECTO LEY,LEY
DISTANCIAMIENTO SOCIAL,DISTANCIAMIENTO
FUENTES OFICIALES,FUENTES_OFICIALES
SUPUESTO CASO,SUPUESTO
COMBATIR MENTIRAS,
RED SOCIAL,REDES_SOCIALES
REDES SOCIALES,REDES_SOCIALES
